keyword,occurrence,paper_ids
distillation,12,2607.27712;2607.27953;2607.27966;2607.28428;2607.27891;2607.28498;2607.28154;2607.28269;2607.27937;2607.28048;2607.28069;2607.28336
pruning,9,2607.28135;2607.28248;2607.28306;2607.28591;2607.28196;2607.28410;2607.27700;2607.27952;2607.27951
sparse,7,2607.27591;2607.28135;2607.28306;2607.28410;2607.27891;2607.27532;2607.27735
quantization,6,2607.27275;2607.27581;2607.27591;2607.27536;2607.28191;2607.28423
kv cache,6,2607.27600;2607.28069;2607.28399;2607.27532;2607.27735;2607.28457
quantize,4,2607.27275;2607.27591;2607.28191;2607.28423
quantized,4,2607.27275;2607.27591;2607.28191;2607.28423
sparsity,3,2607.27591;2607.28306;2607.28410
compression,3,2607.27600;2607.28196;2607.27712
structured pruning,3,2607.28306;2607.28591;2607.28410
post-training quantization,2,2607.27275;2607.28423
prune,2,2607.27600;2607.27700
dynamic pruning,2,2607.28306;2607.28410
compressed,2,2607.28196;2607.28154
token pruning,2,2607.27952;2607.27951
codebook,1,2607.27581
sparsification,1,2607.27591
low-bit,1,2607.27536
int4,1,2607.27536
magnitude pruning,1,2607.28196
pruned,1,2607.27700
knowledge distillation,1,2607.28269
speculative decoding,1,2607.27735
